Dependent Table,Primary Table,Foreign Key,Primary Key Column,Total Rows Checked,Missing References
award_winners,awards,award_id,award_id,132,0
award_winners,teams,team_id,team_id,132,0
award_winners,players,player_id,player_id,132,0
award_winners,tournaments,tournament_id,tournament_id,132,0
group_standings,teams,team_id,team_id,458,0
group_standings,tournaments,tournament_id,tournament_id,458,0
player_appearances,teams,team_id,team_id,18623,0
player_appearances,tournaments,tournament_id,tournament_id,18623,0
player_appearances,matches,match_id,match_id,18623,0
player_appearances,players,player_id,player_id,18623,0
manager_appearances,teams,team_id,team_id,1842,0
manager_appearances,managers,manager_id,manager_id,1842,0
manager_appearances,matches,match_id,match_id,1842,0
manager_appearances,tournaments,tournament_id,tournament_id,1842,0
team_appearances,teams,team_id,team_id,1800,0
team_appearances,teams,opponent_id,team_id,1800,0
team_appearances,matches,match_id,match_id,1800,0
team_appearances,tournaments,tournament_id,tournament_id,1800,0
team_appearances,stadiums,stadium_id,stadium_id,1800,0
penalty_kicks,teams,team_id,team_id,279,0
penalty_kicks,players,player_id,player_id,279,0
penalty_kicks,tournaments,tournament_id,tournament_id,279,0
penalty_kicks,matches,match_id,match_id,279,0
goals,teams,team_id,team_id,2548,0
goals,players,player_id,player_id,2548,0
goals,tournaments,tournament_id,tournament_id,2548,0
goals,matches,match_id,match_id,2548,0
qualified_teams,teams,team_id,team_id,457,0
qualified_teams,tournaments,tournament_id,tournament_id,457,0
substitutions,teams,team_id,team_id,6464,0
substitutions,players,player_id,player_id,6464,0
substitutions,tournaments,tournament_id,tournament_id,6464,0
substitutions,matches,match_id,match_id,6464,0
tournament_standings,teams,team_id,team_id,84,0
tournament_standings,tournaments,tournament_id,tournament_id,84,0
bookings,teams,team_id,team_id,2466,0
bookings,players,player_id,player_id,2466,0
bookings,tournaments,tournament_id,tournament_id,2466,0
bookings,matches,match_id,match_id,2466,0
manager_appointments,teams,team_id,team_id,469,0
manager_appointments,managers,manager_id,manager_id,469,0
manager_appointments,tournaments,tournament_id,tournament_id,469,0
squads,teams,team_id,team_id,10142,0
squads,players,player_id,player_id,10142,0
squads,tournaments,tournament_id,tournament_id,10142,0
host_countries,teams,team_id,team_id,22,0
host_countries,tournaments,tournament_id,tournament_id,22,0
matches,teams,away_team_id,team_id,900,0
matches,teams,home_team_id,team_id,900,0
matches,tournaments,tournament_id,tournament_id,900,0
matches,stadiums,stadium_id,stadium_id,900,0
referees,confederations,confederation_id,confederation_id,380,0
referee_appearances,referees,referee_id,referee_id,900,0
referee_appearances,confederations,confederation_id,confederation_id,900,0
referee_appearances,tournaments,tournament_id,tournament_id,900,0
referee_appearances,matches,match_id,match_id,900,0
referee_appointments,referees,referee_id,referee_id,511,0
referee_appointments,confederations,confederation_id,confederation_id,511,0
referee_appointments,tournaments,tournament_id,tournament_id,511,0
teams,confederations,confederation_id,confederation_id,84,0
groups,tournaments,tournament_id,tournament_id,117,0
tournament_stages,tournaments,tournament_id,tournament_id,107,0
