tournament_id,start_date,Timeliness_Result
WC-1930,1930-07-13,Fail
WC-1934,1934-05-27,Fail
WC-1938,1938-06-04,Pass
WC-1950,1950-06-24,Pass
WC-1954,1954-06-16,Pass
WC-1958,1958-06-08,Pass
WC-1962,1962-05-30,Fail
WC-1966,1966-07-11,Pass
WC-1970,1970-05-31,Fail
WC-1974,1974-06-13,Pass
WC-1978,1978-06-01,Pass
WC-1982,1982-06-13,Pass
WC-1986,1986-05-31,Fail
WC-1990,1990-06-08,Pass
WC-1994,1994-06-17,Pass
WC-1998,1998-06-10,Pass
WC-2002,2002-05-31,Fail
WC-2006,2006-06-09,Pass
WC-2010,2010-06-11,Pass
WC-2014,2014-06-12,Pass
WC-2018,2018-06-14,Pass
